id_resena,titulo,texto,veredicto
72,"No decepciona, incluso sorprende",Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición,positivo
73,"No decepciona, incluso sorprende",Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición,positivo
74,Se podrá solicitar la devolución del tiempo perdido en este juego?,La dificultad es terriblemente alta,negativo
75,Se podrá solicitar la devolución del tiempo perdido en este juego?,Este juego viene directamente de Mordor,negativo
76,"No es malo, no, es malísimo",Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego,negativo
77,Me soprende que no tenga más premios,Muy Entretenido,positivo
78,Horas de diversión,Mejor que manjarate,positivo
79,Peor que no ir vestido de traje a un bar,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta",negativo
80,"No decepciona, incluso sorprende","Me acabo de echar 3 ramos, pero valió la pena",positivo
81,Em... tenía final el juego?,Más malo que la pizza helada,negativo
82,Parace una broma que existe un juego como este,Más malo que la pizza helada,negativo
83,Parace una broma que existe un juego como este,Más malo que la pizza helada,negativo
84,Mejor juego o mejor juego,El problema es que este juego No puede ser mejor,positivo
85,Es el guaripolo de los videojuegos,"Me encantó, nada más que decir",positivo
86,"No es malo, no, es malísimo",Peor que mis laboratorios con margen de error del 1000%,negativo
87,No entiendo por qué no regalan este juego,Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días,negativo
88,"No decepciona, incluso sorprende","Consistente, repleto de contenido, soprendentemente bueno",positivo
89,tiempo y dinero tirados a la basura,Terriblemente malo,negativo
90,Es el guaripolo de los videojuegos,El problema es que este juego No puede ser mejor,positivo
91,Vine buscando cobre y encontré oro,Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición,positivo
92,Buena inversión,Muy Entretenido,positivo
93,No entiendo por qué no regalan este juego,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego,negativo
94,"No decepciona, incluso sorprende",Horas de diversión para amigos y familia,positivo
95,Es el guaripolo de los videojuegos,Ahhhh... un manjarsh,positivo
96,Buena inversión,"A decir verdad, encuentro que este videojuego va a revolucionar todo el género",positivo
97,"No me calza el precio con la calidad del juego, debería costar mucho más",Horas de diversión para amigos y familia,positivo
98,Buena inversión,"Nunca es muy tarde para decirlo, me arrepiento de no haber probado este juego antes",positivo
99,Nisiquiera la mejor de las odas podría describir este juego,El problema es que este juego No puede ser mejor,positivo
100,Parace una broma que existe un juego como este,Cómo arruinar tu vida en 1 simple paso: compra este juego,negativo
101,No sé como logró subir por los 9 círculos del infierno este juego,Cómo arruinar tu vida en 1 simple paso: compra este juego,negativo
102,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Más malo que la pizza helada,negativo
103,Es más malo que malini,La dificultad es terriblemente alta,negativo
104,"No es malo, no, es malísimo",Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días,negativo
105,Me encantaría saber si tiene una secuela,"Me acabo de echar 3 ramos, pero valió la pena",positivo
106,Peor juego,Honestamente prefiero jugar a mirar el techo,negativo
107,No entiendo por qué no regalan este juego,No logré comprender la idea del juego,negativo
108,Nisiquiera la mejor de las odas podría describir este juego,Ahhhh... un manjarsh,positivo
109,No sé como logró subir por los 9 círculos del infierno este juego,No logré comprender la idea del juego,negativo
110,Em... tenía final el juego?,Peor que mis laboratorios con margen de error del 1000%,negativo
111,Fantabuloso,A mi hijo le encanta,positivo
112,"No es malo, no, es malísimo",Peor que mis laboratorios con margen de error del 1000%,negativo
113,Horas de diversión,No puedo creer que no haya jugado esto antes,positivo
114,"No decepciona, incluso sorprende","Consistente, repleto de contenido, soprendentemente bueno",positivo
115,Mejor juego o mejor juego,Interesante,positivo
116,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no","Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta",negativo
117,tiempo y dinero tirados a la basura,Más malo que la pizza helada,negativo
118,No sé como logró subir por los 9 círculos del infierno este juego,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego,negativo
119,Em... tenía final el juego?,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego,negativo
120,Es más malo que malini,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar",negativo
121,Muy Malo,Más malo que la pizza helada,negativo
122,Nisiquiera la mejor de las odas podría describir este juego,Me recuerda cuando era joven,positivo
123,Em... tenía final el juego?,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar",negativo
124,Pensar que me entusiasmó en un principio...,Terriblemente malo,negativo
125,Nisiquiera la mejor de las odas podría describir este juego,"Me acabo de echar 3 ramos, pero valió la pena",positivo
126,Más bueno que el pan con chancho,Interesante,positivo
127,Es el guaripolo de los videojuegos,"Me acabo de echar 3 ramos, pero valió la pena",positivo
128,tiempo y dinero tirados a la basura,Peor que mis laboratorios con margen de error del 1000%,negativo
129,Increíble nada más que decir,"Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene",positivo
130,Horas de diversión,El problema es que este juego No puede ser mejor,positivo
131,Increíble nada más que decir,Interesante,positivo
132,Pero que ofertón,Mejor que manjarate,positivo
133,Peor que no ir vestido de traje a un bar,Terriblemente malo,negativo
134,Es el guaripolo de los videojuegos,El problema es que este juego No puede ser mejor,positivo
135,Em... tenía final el juego?,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar",negativo
136,Peor que no ir vestido de traje a un bar,Muy malo,negativo
137,Muy Malo,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta",negativo
138,Pensar que me entusiasmó en un principio...,No logré comprender la idea del juego,negativo
139,Horas de diversión,No sabría que decir al respecto,positivo
140,Fantabuloso,"Nunca es muy tarde para decirlo, me arrepiento de no haber probado este juego antes",positivo
141,Em... tenía final el juego?,Terriblemente malo,negativo
142,Pero que ofertón,"Consistente, repleto de contenido, soprendentemente bueno",positivo
143,El mejor Juego del Mundo,Ahhhh... un manjarsh,positivo
144,Más bueno que el pan con chancho,No puedo creer que no haya jugado esto antes,positivo
145,Me encantaría saber si tiene una secuela,"Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene",positivo
146,Em... tenía final el juego?,Terriblemente malo,negativo
147,Peor juego,La dificultad es terriblemente alta,negativo
148,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no","Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar",negativo
149,No entiendo por qué no regalan este juego,Este juego viene directamente de Mordor,negativo
150,Em... tenía final el juego?,No logré comprender la idea del juego,negativo
151,Parace una broma que existe un juego como este,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar",negativo
152,Muy Malo,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego,negativo
153,Pero que ofertón,"Nunca es muy tarde para decirlo, me arrepiento de no haber probado este juego antes",positivo
154,Y pensar que me perdí la boda de mi hija por este juego,Honestamente prefiero jugar a mirar el techo,negativo
155,"No decepciona, incluso sorprende","Me encantó, nada más que decir",positivo
156,Increíble nada más que decir,Muy Entretenido,positivo
157,Buena inversión,Ideal para la pandemia,positivo
158,Nisiquiera la mejor de las odas podría describir este juego,Ahhhh... un manjarsh,positivo
159,Mejor juego o mejor juego,Ideal para la pandemia,positivo
160,Peor juego,Más malo que la pizza helada,negativo
161,Y pensar que me perdí la boda de mi hija por este juego,Muy facil y muy caro para las horas efectivas de juego,negativo
162,Peor juego,La dificultad es terriblemente alta,negativo
163,Pensar que me entusiasmó en un principio...,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar",negativo
164,Peor juego,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta",negativo
165,Más bueno que el pan con chancho,Horas de diversión para amigos y familia,positivo
166,Peor juego,Muy malo,negativo
167,No entiendo por qué no regalan este juego,No logré comprender la idea del juego,negativo
168,"Si este juego fuera One Piece, me vería los 1000 episodios","Consistente, repleto de contenido, soprendentemente bueno",positivo
169,Vine buscando cobre y encontré oro,"Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene",positivo
